city;district;front;size;property_age;bedrooms;bathrooms;livingrooms;kitchen;garage;driver_room;maid_room;furnished;ac;roof;pool;frontyard;basement;duplex;stairs;elevator;fireplace;price;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;Ã‰Ê»;370;0;4;5;2;1;1;0;0;0;0;0;0;1;0;0;1;0;0;60000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;Ã‰Ê»;380;0;4;5;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;60000;
 «·—Ì«÷;   ÕÌ «·„⁄Ì“·… ;€—»;250;0;5;5;3;0;1;1;1;0;0;0;0;1;0;0;0;0;0;55000;
 «·—Ì«÷;   ÕÌ «·⁄·Ì« ;€—»;400;11;7;5;2;1;1;1;1;0;0;1;0;1;0;1;1;0;0;70000;
 «·—Ì«÷;   ÕÌ «·«“œÂ«— ;‘—ﬁ;250;25;5;4;1;1;0;0;1;0;1;0;0;1;0;1;1;0;0;45000;
 «·—Ì«÷;   ÕÌ «·„ÂœÌ… ;‘„«·;250;0;5;5;3;1;1;0;1;0;0;0;0;0;0;1;1;0;0;45000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·Õ“„ ;Ã‰Ê» ‘—ﬁÌ;288;6;5;5;1;1;0;0;1;0;1;0;0;1;0;1;1;0;0;37000;
 «·—Ì«÷;   ÕÌ «·⁄·Ì« ;Ã‰Ê» €—»Ì;250;0;4;4;4;1;1;0;1;0;1;0;0;1;0;0;1;0;0;150000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;290;0;3;5;3;1;1;1;1;1;1;0;0;1;0;1;0;0;0;150000;
 «·—Ì«÷;   ÕÌ «·’Õ«›… ;‘—ﬁ;400;0;5;4;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ »‰»«‰ ;‘„«·;840;0;5;5;2;1;1;1;1;0;1;1;1;0;0;0;1;1;0;150000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;Ã‰Ê»;440;0;5;5;2;1;1;1;1;0;0;1;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·‰”Ì„ «·€—»Ì ;‘—ﬁ;500;0;5;5;3;1;1;1;1;0;0;1;0;1;0;0;1;0;1;70000;
 «·—Ì«÷;   ÕÌ «·«“œÂ«— ;‘—ﬁ;900;20;7;5;2;1;1;1;1;0;1;1;0;1;0;0;1;0;0;250000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘„«· €—»Ì;377;0;7;5;2;1;1;1;1;0;0;1;0;1;0;0;1;0;1;76000;
 «·—Ì«÷;   ÕÌ «·„·“ ;Ã‰Ê» €—»Ì;750;28;7;5;3;1;1;1;1;0;0;1;1;1;0;0;0;0;1;80000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;0;0;1;0;0;0;0;1;0;1;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·Ì«”„Ì‰ ;Ã‰Ê»;339;9;4;5;3;1;1;1;1;0;0;0;0;0;0;0;1;0;0;120000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;Ã‰Ê»;350;0;3;3;2;1;0;1;1;0;0;1;0;1;0;0;1;0;0;65000;
 «·—Ì«÷;   ÕÌ «·”·Ì„«‰Ì… ;‘„«·;200;10;4;5;2;1;0;1;1;0;1;0;0;0;0;1;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘—ﬁ;220;0;4;5;1;1;1;0;1;0;1;0;0;1;0;1;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·⁄ﬁÌﬁ ;‘—ﬁ;900;20;5;5;2;1;1;1;1;0;0;0;0;0;0;0;1;0;0;200000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;‘„«· €—»Ì;290;0;7;5;2;1;1;0;1;1;1;1;0;1;0;0;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·„—”·«  ;€—»;400;18;5;5;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;150000;
 «·—Ì«÷;   ÕÌ «·⁄ﬁÌﬁ ;€—»;375;13;5;5;2;1;1;0;1;0;0;1;0;1;0;0;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;‘—ﬁ;200;5;7;5;2;1;0;0;1;0;1;0;0;0;0;1;1;0;0;50000;
 «·—Ì«÷;   ÕÌ «·—Õ„«‰Ì… ;‘„«·;450;12;7;5;2;1;1;1;1;0;1;0;0;1;0;0;0;0;0;130000;
 «·—Ì«÷;   ÕÌ «·—„«· ;€—»;360;0;4;4;1;1;1;1;1;0;0;0;0;1;0;0;1;0;1;45000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;€—»;250;0;5;5;2;1;1;0;1;0;0;0;0;0;0;0;1;0;0;55000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;270;0;4;5;2;1;1;1;1;1;1;0;0;1;0;0;1;0;0;100000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘„«· €—»Ì;350;0;4;4;2;0;0;0;0;0;0;1;0;1;0;0;1;0;1;40000;
 «·—Ì«÷;   ÕÌ ÿÊÌﬁ ;Ã‰Ê» €—»Ì;400;0;5;5;2;1;1;0;1;0;0;0;0;1;0;0;1;0;1;40000;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;‘„«·;200;0;4;5;1;1;0;0;0;0;0;0;0;0;0;1;1;0;0;120000;
 «·—Ì«÷;   ÕÌ «·Ì«”„Ì‰ ;‘„«·;300;3;4;3;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;110000;
